Country,Total Infected,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Median Age
Albania,160,15102500898.238,40.02,2877.797,28.7,49.06309459593061,32.9
Algeria,286,173757952824.25,54.41,43851.044,15.6,49.4842678798151,28.1
Argentina,202,519871519807.795,62.96,45195.774,21.8,51.2373484456557,31.7
Armenia,67,12433089919.0459,20.78,2963.243,24.1,52.9565771522637,35.1
Australia,2127,1433904348500.12,42.7,25499.884,14.7,50.1996232411296,38.7
Austria,3260,455285818035.125,23.23,9006.398,29.6,50.82942664825029,44.0
Azerbaijan,137,46939529411.7647,32.68,10139.177,20.8,50.1157491047071,31.3
Bahrain,1857,37746196808.5106,29.18,1701.575,26.4,36.348251605668295,32.3
Bangladesh,26,274024958965.892,64.98,164689.383,23.0,49.3872966665271,26.7
Belarus,152,59662495092.2654,24.8,9449.323,26.7,53.456054224148595,40.0
Belgium,3868,542761092103.469,42.5,11589.623,28.2,50.593319387084996,41.4
Bosnia and Herzegovina,91,20161865419.4327,43.57,3280.819,38.9,51.010536025288104,42.1
Brazil,675,1868626087908.48,69.48,212559.417,13.9,50.8299167629894,32.0
Bulgaria,141,65132951116.4756,39.31,6948.445,37.0,51.4140884138516,42.7
Cambodia,72,24542474061.2426,51.8,16718.965,17.2,51.1979812668406,25.3
Canada,1588,1713341704877.01,39.48,37742.154,14.3,50.3915299543153,42.2
Chile,267,298231133532.74896,47.12,19116.201,37.8,50.727031839004496,34.4
China,2881429,13608151864637.9,36.7,1439323.776,25.6,48.6793739572695,37.4
Colombia,94,331047040087.878,52.54,50882.891,9.0,50.92577169522939,30.0
Costa Rica,136,60130106115.6294,55.77,5094.118,11.9,50.0098510974123,31.3
Croatia,279,60971699315.1776,24.23,4105.267,37.0,51.8526217475815,43.0
Cuba,15,100023000000.0,27.62,11326.616,35.2,50.3328498327681,41.5
Cyprus,83,24961988663.2026,29.62,1207.359,36.4,49.9710744983023,36.8
Czech Republic,939,245225882903.37,25.99,10708.981,34.3,50.8085889327815,42.1
Denmark,4058,355675329085.952,24.72,5792.202,19.1,50.2742027259115,42.2
Dominican Republic,61,85555390387.0355,60.62,10847.91,13.7,50.007796071702,28.1
Ecuador,219,108398058000.0,48.91,17643.054,7.1,49.9706251782698,27.7
Estonia,461,30732144528.9795,22.17,1326.535,31.3,52.8584268202066,42.7
Ethiopia,3,84355604752.5299,47.46,114963.588,4.4,49.978888418806704,17.9
Finland,938,276743120515.764,22.75,5540.72,20.4,50.72075848538321,42.5
France,24688,2777535239277.98,46.45,65273.511,32.7,51.584240481133605,41.4
Georgia,207,17599660629.0202,20.18,3989.167,28.8,52.29123750357861,38.1
Germany,24991,3947620162502.96,34.6,83783.942,30.6,50.6603673700529,47.1
Ghana,9,65556464048.1539,51.57,31072.94,3.9,49.32582970438379,21.1
Greece,1346,218031844583.994,39.29,10423.054,43.4,50.916201905221,44.5
Honduras,11,23969890430.7882,75.84,9904.607,2.0,50.049340168466905,23.0
Hungary,142,157882912778.254,35.41,9660.351,30.6,52.4324280334941,42.3
Iceland,1001,25878475760.1131,23.15,341.243,14.7,49.8117085224168,36.5
India,792,2718732231257.57,42.38,1380004.385,11.5,48.0235396426684,27.9
Indonesia,418,1042173300625.55,46.26,273523.615,39.4,49.6438821889217,30.2
Ireland,561,382487490532.479,46.18,4937.786,24.3,50.4255094845201,36.8
Israel,1218,370587977153.58295,30.71,8655.535,25.2,50.2981265779531,29.9
Italy,142850,2083864259622.65,44.35,60461.826,23.7,51.376669625565206,45.5
Jamaica,29,15713908816.1463,65.26,2961.167,16.8,50.339829626901206,26.0
Japan,9992,4971323079771.87,15.91,126476.461,22.1,51.1592591291078,47.3
Kazakhstan,19,179339994859.38397,64.23,18776.707,24.0,51.5114836468188,30.6
Kenya,5,87908262519.9164,62.38,53771.296,10.7,50.3160203897178,19.7
South Korea,112920,1619423701169.63,29.24,51269.185,23.3,49.9168817920843,41.8
Kuwait,1206,140645364238.411,35.61,4270.571,22.5,39.5481706247096,29.3
Latvia,115,34409229177.9105,36.6,1886.198,37.0,54.0101666562093,43.6
Lebanon,631,56639155555.5556,43.38,6825.445,33.8,49.705805515578,30.5
Lithuania,44,53429066429.1251,34.82,2722.289,28.8,53.791958647327796,43.7
Luxembourg,191,70885325883.0941,30.17,625.978,23.5,49.53925897485121,39.3
Malaysia,2443,358581943446.259,60.66,32365.999,21.5,48.578520581984904,28.5
Maldives,62,5327457149.72581,53.83,540.544,28.3,37.2649814622342,28.2
Malta,77,14553422928.8831,37.73,441.543,25.5,49.8733082150459,41.8
Mexico,162,1220699479845.98,52.51,128932.753,14.0,51.08928083193911,28.3
Moldova,52,11443671435.9024,45.7,4033.963,24.2,52.035563123928,36.7
Mongolia,6,13066749138.3261,57.76,3278.29,25.6,50.6695447058148,28.3
Morocco,79,117921394402.361,49.53,36910.56,23.4,50.40384729128179,29.3
Namibia,4,14521711633.9533,68.14,2540.905,21.4,51.55369031572929,21.2
Nepal,51,29040398982.3466,35.7,29136.808,22.8,54.535343329259604,24.1
Netherlands,5368,913658465709.125,28.54,17134.872,25.8,50.220943564781294,42.6
New Zealand,64,204923917869.355,40.89,4822.233,16.0,50.8377693974718,37.9
Nigeria,24,397269616080.90796,64.64,206139.589,5.8,49.3361135462707,18.4
Norway,5885,434166615431.909,33.51,5421.241,20.2,49.5246311324926,39.2
Oman,255,79276723016.9051,21.55,5106.626,11.1,34.0140835154787,25.6
Pakistan,224,314588210501.063,44.58,220892.34,20.1,48.5380747169765,23.8
Panama,126,65055100000.0,45.47,4314.767,6.1,49.9053836510993,29.2
Peru,161,222044970486.21698,64.58,32971.854,4.8,50.3377554939133,28.0
Philippines,587,330910343610.956,41.09,109581.078,24.3,49.741657385181504,23.5
Poland,431,585663814824.044,29.67,37846.611,28.0,51.5307073794516,40.7
Portugal,795,240674524464.24,30.11,10196.709,22.7,52.711961710545204,42.2
