Country,Tests,Test Pop,Density,Urban Pop,Quarantine,Schools,Restrictions,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Total Infected,Total Deaths,Total Recovered
Albania,,,105.0,63.0,,,,2.9,1.08,1.11,1.09,0.93,0.95,0.87,0.98,11.67,7.02,17.04,32.9,15102500898.238,40.02,2877.797,28.7,49.06309459593061,212,10,33
Algeria,,,18.0,73.0,,,,1.9,1.05,1.05,1.05,1.03,1.01,0.89,1.03,8.77,5.03,12.81,28.1,173757952824.25,54.41,43851.044,15.6,49.4842678798151,511,31,31
Argentina,,,17.0,93.0,3/20/2020,,,5.0,1.05,1.06,1.05,1.0,0.94,0.71,0.98,29.27,20.16,42.59,31.7,519871519807.795,62.96,45195.774000000005,21.8,51.2373484456557,745,19,72
Armenia,694.0,4269.802594,104.0,63.0,,,,4.2,1.13,1.14,1.06,0.93,0.84,0.67,0.94,23.86,16.17,35.99,35.1,12433089919.0459,20.78,2963.243,24.1,52.9565771522637,424,3,30
Australia,31635.0,806.0655602999999,3.0,86.0,,,3/23/2020,3.8,1.06,1.06,1.09,0.99,0.93,0.86,0.99,18.79,15.9,22.16,38.7,1433904348500.12,42.7,25499.884,14.7,50.1996232411296,3984,16,244
Austria,10278.0,876.2792372000001,109.0,57.0,3/16/2020,,,7.6,1.05,1.05,1.04,1.0,0.98,0.76,0.96,17.02,13.02,22.14,44.0,455285818035.125,23.23,9006.398000000001,29.6,50.82942664825029,8788,86,479
Azerbaijan,,,123.0,56.0,,,,4.7,1.11,1.15,1.09,0.96,0.86,0.62,0.98,20.61,14.07,29.32,31.3,46939529411.7647,32.68,10139.177,20.8,50.1157491047071,209,4,15
Bahrain,13553.0,125.54969380000001,2239.0,89.0,,,,6.8,1.03,1.03,1.3,1.88,1.81,0.95,,18.37,13.83,22.39,32.3,37746196808.5106,29.18,1701.575,26.4,36.348251605668295,499,4,272
Bangladesh,,,1265.0,39.0,,,,0.8,1.04,1.04,1.0,0.93,0.98,0.97,0.97,69.07,61.7,76.24,26.7,274024958965.892,64.98,164689.383,23.0,49.3872966665271,48,5,15
Belarus,16000.0,590.5826875,47.0,79.0,,,,11.0,1.06,1.06,1.06,0.97,0.79,0.46,0.87,9.46,2.83,21.51,40.0,59662495092.2654,24.8,9449.323,26.7,53.456054224148595,94,0,32
Belgium,4225.0,2743.106036,383.0,98.0,3/18/2020,,,6.2,1.05,1.05,1.04,1.02,0.98,0.76,0.97,27.11,21.2,34.98,41.4,542761092103.469,42.5,11589.623,28.2,50.593319387084996,10836,431,1359
Bosnia and Herzegovina,,,64.0,52.0,,,,3.5,1.07,1.07,1.07,1.01,0.92,0.64,0.95,18.48,12.88,26.05,42.1,20161865419.4327,43.57,3280.8190000000004,38.9,51.010536025288104,323,6,8
Brazil,2927.0,72620.23129,25.0,88.0,,,,2.2,1.05,1.04,1.03,0.98,0.89,0.74,0.97,26.57,19.71,35.83,32.0,1868626087908.48,69.48,212559.417,13.9,50.8299167629894,4256,136,6
Bulgaria,,,64.0,76.0,,,,6.8,1.06,1.06,1.09,1.06,0.88,0.69,0.95,19.79,13.98,27.92,42.7,65132951116.4756,39.31,6948.445,37.0,51.4140884138516,346,8,14
Cambodia,,,95.0,24.0,,,,0.8,1.05,1.02,0.98,0.96,0.65,0.6,0.94,34.21,30.47,39.66,25.3,24542474061.2426,51.8,16718.965,17.2,51.1979812668406,103,0,21
Canada,76964.0,490.3871161,4.0,81.0,,3/15/2020,3/20/2020,2.7,1.06,1.05,1.06,1.03,0.98,0.8,0.98,19.01,16.95,21.55,42.2,1713341704877.01,39.48,37742.154,14.3,50.3915299543153,6280,64,466
Chile,,,26.0,85.0,,,,2.2,1.04,1.04,1.04,1.0,0.89,0.72,0.97,14.84,12.24,18.58,34.4,298231133532.74896,47.12,19116.201,37.8,50.727031839004496,2139,7,75
China,320000.0,4497.8868,153.0,61.0,1/24/2020,,,4.2,1.15,1.17,1.14,1.04,1.02,0.92,1.06,63.1,56.35,70.52,37.4,13608151864637.9,36.7,1439323.7759999998,25.6,48.6793739572695,82122,3304,75582
Colombia,2571.0,19791.08946,46.0,80.0,3/25/2020,,,1.5,1.06,1.05,1.04,0.98,0.88,0.72,0.98,36.3,31.33,42.49,30.0,331047040087.878,52.54,50882.890999999996,9.0,50.925771695229386,702,10,10
Costa Rica,,,100.0,80.0,,,,1.2,1.05,1.05,1.04,1.01,0.95,0.86,1.01,20.42,17.65,23.65,31.3,60130106115.6294,55.77,5094.1179999999995,11.9,50.0098510974123,314,2,3
Croatia,1159.0,3542.07679,73.0,58.0,,,,5.6,1.06,1.06,1.05,1.0,0.96,0.69,0.93,21.75,14.54,32.7,43.0,60971699315.1776,24.23,4105.267,37.0,51.8526217475815,713,6,52
Cuba,,,106.0,78.0,,,,5.2,1.06,1.06,1.08,1.01,0.94,0.81,0.99,23.3,20.53,26.67,41.5,100023000000.0,27.62,11326.616000000002,35.2,50.3328498327681,139,3,4
Cyprus,,,131.0,67.0,,,,3.4,1.05,1.06,1.19,1.11,0.92,0.77,1.04,17.85,11.34,26.04,36.8,24961988663.2026,29.62,1207.359,36.4,49.9710744983023,214,5,15
Czech Republic,6302.0,1699.298794,139.0,74.0,,3/13/2020,3/13/2020,6.5,1.06,1.06,1.06,1.05,0.94,0.7,0.97,19.68,13.1,28.54,42.1,245225882903.37,25.99,10708.981000000002,34.3,50.8085889327815,2817,16,11
Denmark,7620.0,760.1314961,137.0,88.0,3/16/2020,,,2.5,1.06,1.05,1.04,0.99,0.99,0.81,0.97,31.99,31.31,32.85,42.2,355675329085.952,24.72,5792.201999999999,19.1,50.2742027259115,2564,72,73
Dominican Republic,,,225.0,85.0,,,,1.6,1.04,1.04,1.04,1.05,1.01,0.86,1.03,11.43,9.5,13.57,28.1,85555390387.0355,60.62,10847.91,13.7,50.007796071702,859,39,3
Ecuador,,,71.0,63.0,,,,1.5,1.05,1.04,1.03,0.95,0.96,0.91,0.99,24.07,18.85,30.17,27.7,108398058000.0,48.91,17643.054,7.1,49.9706251782698,1924,58,3
Estonia,1387.0,956.405912,31.0,68.0,,,,5.0,1.05,1.05,1.08,1.01,0.81,0.51,0.88,8.8,3.59,18.36,42.7,30732144528.9795,22.17,1326.535,31.3,52.8584268202066,679,3,20
Ethiopia,,,115.0,21.0,,,,0.3,1.03,1.01,0.99,0.99,0.95,0.82,0.99,18.56,13.55,24.28,17.9,84355604752.5299,47.46,114963.588,4.4,49.978888418806704,21,0,1
Finland,900.0,6156.355556,18.0,86.0,,,,4.4,1.05,1.05,1.04,1.04,0.97,0.76,0.97,9.92,5.47,15.97,42.5,276743120515.764,22.75,5540.72,20.4,50.720758485383215,1240,11,10
France,11071.0,5895.90019,119.0,82.0,3/17/2020,,,6.5,1.05,1.05,1.05,1.01,0.93,0.75,0.96,13.15,9.64,17.69,41.4,2777535239277.98,46.45,65273.511,32.7,51.58424048113361,40708,2611,7226
Georgia,,,57.0,58.0,,,,2.6,1.08,1.11,1.11,0.95,0.81,0.64,0.92,23.26,15.96,34.46,38.1,17599660629.0202,20.18,3989.167,28.8,52.29123750357861,91,0,18
Germany,,,240.0,76.0,3/21/2020,,,8.3,1.06,1.05,1.04,1.02,0.98,0.78,0.97,20.01,16.32,24.67,47.1,3947620162502.96,34.6,83783.942,30.6,50.6603673700529,62095,533,9211
Ghana,,,137.0,57.0,,,,0.9,1.03,1.01,0.99,0.94,0.95,0.86,0.97,21.09,17.95,25.11,21.1,65556464048.1539,51.57,31072.94,3.9,49.32582970438379,152,5,2
Greece,,,81.0,85.0,,,,4.3,1.06,1.06,1.05,0.99,0.96,0.78,0.95,20.62,18.3,23.49,44.5,218031844583.994,39.29,10423.054,43.4,50.916201905221,1156,38,52
Honduras,,,89.0,57.0,,,,0.7,1.05,1.04,1.04,1.02,0.88,0.77,1.01,21.39,22.03,20.76,23.0,23969890430.7882,75.84,9904.607,2.0,50.049340168466905,110,3,3
Hungary,1587.0,6087.177694,107.0,72.0,,,,7.0,1.06,1.06,1.07,1.01,0.85,0.6,0.91,27.68,19.86,39.93,42.3,157882912778.254,35.41,9660.351,30.6,52.4324280334941,408,13,34
Iceland,2278.0,149.7993854,3.0,94.0,,,,3.2,1.05,1.05,1.03,1.02,1.01,0.88,1.01,19.71,20.44,18.65,36.5,25878475760.1131,23.15,341.24300000000005,14.7,49.8117085224168,1020,2,135
India,5900.0,233899.0483,464.0,35.0,3/23/2020,,,0.7,1.12,1.13,1.13,1.06,1.01,0.9,1.08,96.92,87.54,106.89,27.9,2718732231257.57,42.38,1380004.385,11.5,48.0235396426684,1024,27,95
Indonesia,,,151.0,56.0,,,,1.2,1.05,1.04,1.04,1.04,0.84,0.77,1.0,36.26,23.54,51.83,30.2,1042173300625.55,46.26,273523.615,39.4,49.6438821889217,1285,114,64
Ireland,1784.0,2767.8172649999997,72.0,63.0,,3/13/2020,3/13/2020,2.8,1.06,1.05,1.03,1.01,1.0,0.86,1.0,24.92,23.02,27.25,36.8,382487490532.479,46.18,4937.786,24.3,50.4255094845201,2615,46,5
Israel,3872.0,2235.417097,400.0,93.0,3/19/2020,3/12/2020,3/15/2020,3.1,1.05,1.05,1.05,1.05,0.96,0.81,1.01,16.1,12.81,20.23,29.9,370587977153.58295,30.71,8655.535,25.2,50.2981265779531,4247,15,132
