country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers
Afghanistan,"38,928,346",,,60,18,25,,,,0.5,
Albania,"2,877,797",,,105,36,63,,,,2.9,29.4
Algeria,"43,851,044",,,18,29,73,,,,1.9,
Andorra,"77,265",,,164,45,88,,,,2.5,32.5
Antigua and Barbuda,"97,929",,,223,34,26,,,,3.8,
Argentina,"45,195,774",,,17,32,93,3/20/2020,,,5,23.95
Armenia,"2,963,243",694,4269.802594,104,35,63,,,,4.2,26.9
Aruba,"106,766",,,593,41,44,,,,1.2,
Australia,"25,499,884",31635,806.0655603,3,38,86,,,3/23/2020,3.8,14.9
Austria,"9,006,398",10278,876.2792372,109,43,57,3/16/2020,,,7.6,35.15
Azerbaijan,"10,139,177",,,123,32,56,,,,4.7,23.45
Bahrain,"1,701,575",13553,125.5496938,2239,32,89,,,,6.8,13.6
Bangladesh,"164,689,383",,,1265,28,39,,,,0.8,20.25
Barbados,"287,375",,,668,40,31,,,,5.8,7
Belarus,"9,449,323",16000,590.5826875,47,40,79,,,,11,28.4
Belgium,"11,589,623",4225,2743.106036,383,42,98,3/18/2020,,,6.2,23.25
Benin,"12,123,200",,,108,19,48,,,,0.5,9.35
Bhutan,"771,608",,,20,28,46,,,,1.7,28.2
Bolivia,"11,673,021",,,11,26,69,,,,1.1,23.8
Bosnia and Herzegovina,"3,280,819",,,64,43,52,,,,3.5,38.6
Brazil,"212,559,417",2927,72620.23129,25,33,88,,,,2.2,15.3
Brunei,"437,479",,,83,32,80,,,,2.7,16.2
Bulgaria,"6,948,445",,,64,45,76,,,,6.8,35.3
Burkina Faso,"20,903,273",,,76,18,31,,,,0.4,20.25
Cambodia,"16,718,965",,,95,26,24,,,,0.8,23.45
Cameroon,"26,545,863",,,56,19,56,,,,1.3,22.35
Canada,"37,742,154",76964,490.3871161,4,41,81,,3/15/2020,3/20/2020,2.7,14.95
Central African Republic,"37,742,154",,,8,18,43,,,,1,
Chile,"19,116,201",,,26,35,85,,,,2.2,38
ChinaHong Kong,"7,496,981",5271,1422.307152,7140,45,100,,,,4.890900135,
China,"1,439,323,776",320000,4497.8868,153,38,61,1/24/2020,,,4.2,24.7
Colombia,"50,882,891",2571,19791.08946,46,31,80,3/25/2020,,,1.5,11.1
Congo (Brazzaville),"5,518,087",,,16,19,70,,,,1.6,
Congo (Kinshasa),"89,561,403",,,40,17,46,,,,1.6,
Costa Rica,"5,094,118",,,100,33,80,,,,1.2,13.4
Cote d'Ivoire,"26,378,274",,,83,19,51,,,,0.4,
Croatia,"4,105,267",1159,3542.07679,73,44,58,,,,5.6,36.45
Cruise Ship,"3,500",,,25,62,100,,,,13.4,
Cuba,"11,326,616",,,106,42,78,,,,5.2,35.25
Cyprus,"1,207,359",,,131,37,67,,,,3.4,
Czechia,"10,708,981",6302,1699.298794,139,43,74,,3/13/2020,3/13/2020,6.5,
Denmark,"5,792,202",7620,760.1314961,137,42,88,3/16/2020,,,2.5,17
Djibouti,"988,000",,,43,27,79,,,,2.2,
Dominican Republic,"10,847,910",,,225,28,85,,,,1.6,14.1
Ecuador,"17,643,054",,,71,28,63,,,,1.5,8.65
Egypt,"102,334,404",,,103,25,43,,,,1.6,25.1
Equatorial Guinea,"1,402,985",,,50,22,73,,,,2.1,
Estonia,"1,326,535",1387,956.405912,31,42,68,,,,5,33.05
Eswatini,"1,160,164",,,67,21,30,,,,0.8,
Ethiopia,"114,963,588",,,115,19,21,,,,0.3,4.7
Finland,"5,540,720",900,6156.355556,18,43,86,,,,4.4,20.85
France,"65,273,511",11071,5895.90019,119,42,82,3/17/2020,,,6.5,27.7
French Guiana,"298,682",,,4,25,87,,,,3.2,
Gabon,"2,225,734",,,9,23,87,,,,6.3,
"Gambia, The","2,416,668",,,239,18,59,,,,1.1,
Georgia,"3,989,167",,,57,38,58,,,,2.6,31.7
Germany,"83,783,942",,,240,46,76,3/21/2020,,,8.3,30.35
Ghana,"31,072,940",,,137,22,57,,,,0.9,6.75
Greece,"10,423,054",,,81,46,85,,,,4.3,42.65
Greenland,"56,770",,,0,34,87,,,,14.35340023,
Guadeloupe,"400,124",,,237,44,96,,,,0.7,
Guam,"168,775",,,313,31,95,,,,2.1,
Guatemala,"17,915,568",,,167,23,52,,,,0.6,
Guernsey,"70,000",,,965,44,86,,,,1.8,
Guinea,"13,132,795",,,53,18,39,,,,4.024199963,
Guyana,"786,552",,,4,27,27,,,,1.6,
Holy See,801,,,2003,40,100,,,,5,
Honduras,"9,904,607",,,89,24,57,,,,0.7,17.7
Hungary,"9,660,351",1587,6087.177694,107,43,72,,,,7,28.4
Iceland,"341,243",2278,149.7993854,3,37,94,,,,3.2,16.05
India,"1,380,004,385",5900,233899.0483,464,28,35,3/23/2020,,,0.7,11.15
Indonesia,"273,523,615",,,151,30,56,,,,1.2,39.9
Iran,"83,992,949",,,52,32,76,3/13/2020,3/5/2020,,1.5,11.1
Iraq,"40,222,493",,,93,21,73,,,,1.4,
Ireland,"4,937,786",1784,2767.817265,72,38,63,,3/13/2020,3/13/2020,2.8,22.15
Israel,"8,655,535",3872,2235.417097,400,30,93,3/19/2020,3/12/2020,3/15/2020,3.1,30.25
Italy,"60,461,826",148657,406.7203428,206,47,69,3/8/2020,,,3.4,24
Jamaica,"2,961,167",,,273,31,55,,,,1.7,17.9
Japan,"126,476,461",16484,7672.680235,347,48,92,,3/2/2020,2/25/2020,13.4,22.15
Jersey,"106,800",,,819,38,98,,,,6.5,23.4
Jordan,"10,203,134",,,115,24,91,,,,1.4,40.45
Kazakhstan,"18,776,707",,,7,31,58,,,,6.7,26.6
Kenya,"53,771,296",,,94,20,28,,3/15/2020,,1.4,13.35
"Korea, South","51,269,185",286716,178.8152213,527,44,82,,2/23/2020,,11.5,27
Kosovo,"1,810,463",,,159,29,65,,,,6.7,
