"Country or Area","Age","Reliability","Source Year","Value","Value Footnotes"
"Andorra","Total","Final figure, complete","2019","76177","1"
"Andorra","0 - 4","Final figure, complete","2019","2719","1"
"Andorra","5 - 9","Final figure, complete","2019","3823","1"
"Andorra","10 - 14","Final figure, complete","2019","4027","1"
"Andorra","15 - 19","Final figure, complete","2019","4077","1"
"Andorra","20 - 24","Final figure, complete","2019","4005","1"
"Andorra","25 - 29","Final figure, complete","2019","4570","1"
"Andorra","30 - 34","Final figure, complete","2019","5062","1"
"Andorra","35 - 39","Final figure, complete","2019","6269","1"
"Andorra","40 - 44","Final figure, complete","2019","7035","1"
"Andorra","45 - 49","Final figure, complete","2019","7083","1"
"Andorra","50 - 54","Final figure, complete","2019","6792","1"
"Andorra","55 - 59","Final figure, complete","2019","5926","1"
"Andorra","60 - 64","Final figure, complete","2019","4443","1"
"Andorra","65 - 69","Final figure, complete","2019","3333","1"
"Andorra","70 - 74","Final figure, complete","2019","2668","1"
"Andorra","75 - 79","Final figure, complete","2019","1785","1"
"Andorra","80 - 84","Final figure, complete","2019","1190","1"
"Andorra","85 +","Final figure, complete","2019","1370","1"
"Antigua and Barbuda","Total","Final figure, complete","2019","96453","2"
"Antigua and Barbuda","0 - 4","Final figure, complete","2019","6870","2"
"Antigua and Barbuda","5 - 9","Final figure, complete","2019","6837","2"
"Antigua and Barbuda","10 - 14","Final figure, complete","2019","7013","2"
"Antigua and Barbuda","15 - 19","Final figure, complete","2019","7109","2"
"Antigua and Barbuda","20 - 24","Final figure, complete","2019","7841","2"
"Antigua and Barbuda","25 - 29","Final figure, complete","2019","7465","2"
"Antigua and Barbuda","30 - 34","Final figure, complete","2019","7096","2"
"Antigua and Barbuda","35 - 39","Final figure, complete","2019","7020","2"
"Antigua and Barbuda","40 - 44","Final figure, complete","2019","6966","2"
"Antigua and Barbuda","45 - 49","Final figure, complete","2019","6956","2"
"Antigua and Barbuda","50 - 54","Final figure, complete","2019","6636","2"
"Antigua and Barbuda","55 - 59","Final figure, complete","2019","5774","2"
"Antigua and Barbuda","60 - 64","Final figure, complete","2019","4325","2"
"Antigua and Barbuda","65 - 69","Final figure, complete","2019","3079","2"
"Antigua and Barbuda","70 - 74","Final figure, complete","2019","2293","2"
"Antigua and Barbuda","75 - 79","Final figure, complete","2019","1450","2"
"Antigua and Barbuda","80 - 84","Final figure, complete","2019","739","2"
"Antigua and Barbuda","85 - 89","Final figure, complete","2019","635","2"
"Antigua and Barbuda","90 - 94","Final figure, complete","2019","243","2"
"Antigua and Barbuda","95 +","Final figure, complete","2019","106","2"
"Argentina","Total","Final figure, complete","2019","44938712","3"
"Argentina","0","Final figure, complete","2019","740709","3"
"Argentina","0 - 4","Final figure, complete","2019","3726162","3"
"Argentina","1","Final figure, complete","2019","743308","3"
"Argentina","1 - 4","Final figure, complete","2019","2985453","3"
"Argentina","2","Final figure, complete","2019","745579","3"
"Argentina","3","Final figure, complete","2019","747234","3"
"Argentina","4","Final figure, complete","2019","749332","3"
"Argentina","5","Final figure, complete","2019","751846","3"
"Argentina","5 - 9","Final figure, complete","2019","3743931","3"
"Argentina","6","Final figure, complete","2019","753532","3"
"Argentina","7","Final figure, complete","2019","754272","3"
"Argentina","8","Final figure, complete","2019","754243","3"
"Argentina","9","Final figure, complete","2019","730038","3"
"Argentina","10","Final figure, complete","2019","719370","3"
"Argentina","10 - 14","Final figure, complete","2019","3542513","3"
"Argentina","11","Final figure, complete","2019","712160","3"
"Argentina","12","Final figure, complete","2019","706506","3"
"Argentina","13","Final figure, complete","2019","703092","3"
"Argentina","14","Final figure, complete","2019","701385","3"
"Argentina","15","Final figure, complete","2019","700881","3"
"Argentina","15 - 19","Final figure, complete","2019","3508965","3"
"Argentina","16","Final figure, complete","2019","701126","3"
"Argentina","17","Final figure, complete","2019","701674","3"
"Argentina","18","Final figure, complete","2019","702273","3"
"Argentina","19","Final figure, complete","2019","703011","3"
"Argentina","20","Final figure, complete","2019","704205","3"
"Argentina","20 - 24","Final figure, complete","2019","3548389","3"
"Argentina","21","Final figure, complete","2019","706169","3"
"Argentina","22","Final figure, complete","2019","709303","3"
"Argentina","23","Final figure, complete","2019","712998","3"
"Argentina","24","Final figure, complete","2019","715714","3"
"Argentina","25","Final figure, complete","2019","716055","3"
"Argentina","25 - 29","Final figure, complete","2019","3522333","3"
"Argentina","26","Final figure, complete","2019","713424","3"
"Argentina","27","Final figure, complete","2019","707262","3"
"Argentina","28","Final figure, complete","2019","698065","3"
"Argentina","29","Final figure, complete","2019","687527","3"
"Argentina","30","Final figure, complete","2019","677072","3"
"Argentina","30 - 34","Final figure, complete","2019","3287553","3"
"Argentina","31","Final figure, complete","2019","666944","3"
"Argentina","32","Final figure, complete","2019","657094","3"
"Argentina","33","Final figure, complete","2019","647633","3"
"Argentina","34","Final figure, complete","2019","638810","3"
"Argentina","35","Final figure, complete","2019","631491","3"
"Argentina","35 - 39","Final figure, complete","2019","3141871","3"
"Argentina","36","Final figure, complete","2019","626897","3"
"Argentina","37","Final figure, complete","2019","625994","3"
"Argentina","38","Final figure, complete","2019","627667","3"
"Argentina","39","Final figure, complete","2019","629822","3"
"Argentina","40","Final figure, complete","2019","628986","3"
"Argentina","40 - 44","Final figure, complete","2019","3027334","3"
"Argentina","41","Final figure, complete","2019","622983","3"
"Argentina","42","Final figure, complete","2019","610387","3"
"Argentina","43","Final figure, complete","2019","592601","3"
"Argentina","44","Final figure, complete","2019","572377","3"
"Argentina","45","Final figure, complete","2019","552405","3"
"Argentina","45 - 49","Final figure, complete","2019","2579461","3"
"Argentina","46","Final figure, complete","2019","533048","3"
"Argentina","47","Final figure, complete","2019","514833","3"
"Argentina","48","Final figure, complete","2019","497721","3"
"Argentina","49","Final figure, complete","2019","481454","3"
"Argentina","50","Final figure, complete","2019","466576","3"
"Argentina","50 - 54","Final figure, complete","2019","2241959","3"
"Argentina","51","Final figure, complete","2019","454497","3"
"Argentina","52","Final figure, complete","2019","445787","3"
"Argentina","53","Final figure, complete","2019","439860","3"
"Argentina","54","Final figure, complete","2019","435239","3"
"Argentina","55","Final figure, complete","2019","430405","3"
"Argentina","55 - 59","Final figure, complete","2019","2084864","3"
"Argentina","56","Final figure, complete","2019","424746","3"
"Argentina","57","Final figure, complete","2019","417904","3"
"Argentina","58","Final figure, complete","2019","410044","3"
"Argentina","59","Final figure, complete","2019","401765","3"
"Argentina","60","Final figure, complete","2019","393375","3"
"Argentina","60 - 64","Final figure, complete","2019","1879409","3"
"Argentina","61","Final figure, complete","2019","384879","3"
"Argentina","62","Final figure, complete","2019","376148","3"
"Argentina","63","Final figure, complete","2019","367204","3"
"Argentina","64","Final figure, complete","2019","357803","3"
"Argentina","65","Final figure, complete","2019","347970","3"
"Argentina","65 - 69","Final figure, complete","2019","1631170","3"
"Argentina","66","Final figure, complete","2019","337584","3"
"Argentina","67","Final figure, complete","2019","326760","3"
"Argentina","68","Final figure, complete","2019","315338","3"
"Argentina","69","Final figure, complete","2019","303518","3"
"Argentina","70","Final figure, complete","2019","291042","3"
"Argentina","70 - 74","Final figure, complete","2019","1311495","3"
"Argentina","71","Final figure, complete","2019","277595","3"
"Argentina","72","Final figure, complete","2019","263027","3"
"Argentina","73","Final figure, complete","2019","247702","3"
"Argentina","74","Final figure, complete","2019","232129","3"
"Argentina","75","Final figure, complete","2019","216911","3"
"Argentina","75 - 79","Final figure, complete","2019","945129","3"
"Argentina","76","Final figure, complete","2019","202333","3"
"Argentina","77","Final figure, complete","2019","188461","3"
"Argentina","78","Final figure, complete","2019","175238","3"
"Argentina","79","Final figure, complete","2019","162186","3"
"Argentina","80","Final figure, complete","2019","149281","3"
"Argentina","80 - 84","Final figure, complete","2019","627708","3"
"Argentina","81","Final figure, complete","2019","136829","3"
"Argentina","82","Final figure, complete","2019","124962","3"
"Argentina","83","Final figure, complete","2019","113704","3"
"Argentina","84","Final figure, complete","2019","102932","3"
"Argentina","85","Final figure, complete","2019","92431","3"
"Argentina","85 - 89","Final figure, complete","2019","364728","3"
"Argentina","86","Final figure, complete","2019","82241","3"
"Argentina","87","Final figure, complete","2019","72383","3"
"Argentina","88","Final figure, complete","2019","63093","3"
"Argentina","89","Final figure, complete","2019","54580","3"
"Argentina","90","Final figure, complete","2019","46791","3"
"Argentina","90 - 94","Final figure, complete","2019","166561","3"
"Argentina","91","Final figure, complete","2019","39563","3"
"Argentina","92","Final figure, complete","2019","32777","3"
"Argentina","93","Final figure, complete","2019","26517","3"
"Argentina","94","Final figure, complete","2019","20913","3"
"Argentina","95","Final figure, complete","2019","16146","3"
"Argentina","95 - 99","Final figure, complete","2019","48440","3"
"Argentina","96","Final figure, complete","2019","12221","3"
"Argentina","97","Final figure, complete","2019","9008","3"
"Argentina","98","Final figure, complete","2019","6512","3"
"Argentina","99","Final figure, complete","2019","4553","3"
"Argentina","100 +","Final figure, complete","2019","8737","3"
"Bermuda","Total","Final figure, complete","2019","64027","4,5"
"Bermuda","0","Final figure, complete","2019","557","4,5"
"Bermuda","0 - 4","Final figure, complete","2019","2876","4,5"
"Bermuda","1","Final figure, complete","2019","568","4,5"
"Bermuda","1 - 4","Final figure, complete","2019","2319","4,5"
"Bermuda","2","Final figure, complete","2019","581","4,5"
"Bermuda","3","Final figure, complete","2019","587","4,5"
"Bermuda","4","Final figure, complete","2019","583","4,5"
"Bermuda","5","Final figure, complete","2019","591","4,5"
"Bermuda","5 - 9","Final figure, complete","2019","3132","4,5"
"Bermuda","6","Final figure, complete","2019","660","4,5"
"Bermuda","7","Final figure, complete","2019","574","4,5"
"Bermuda","8","Final figure, complete","2019","644","4,5"
"Bermuda","9","Final figure, complete","2019","663","4,5"
"Bermuda","10","Final figure, complete","2019","699","4,5"
"Bermuda","10 - 14","Final figure, complete","2019","3303","4,5"
"Bermuda","11","Final figure, complete","2019","685","4,5"
"Bermuda","12","Final figure, complete","2019","650","4,5"
"Bermuda","13","Final figure, complete","2019","647","4,5"
"Bermuda","14","Final figure, complete","2019","622","4,5"
"Bermuda","15","Final figure, complete","2019","623","4,5"
"Bermuda","15 - 19","Final figure, complete","2019","3193","4,5"
"Bermuda","16","Final figure, complete","2019","634","4,5"
