"name","crimeIndex","pop2020"
"Venezuela","84.8600","28435.9400"
"Papua New Guinea","80.2600","8947.0240"
"South Africa","77.0200","59308.6900"
"Honduras","75.8400","9904.6070"
"Afghanistan","73.2600","38928.3460"
"Trinidad and Tobago","73.1500","1399.4880"
"Brazil","69.4800","212559.4170"
"El Salvador","68.6300","6486.2050"
"Namibia","68.1400","2540.9050"
"Syria","66.9100","17500.6580"
"Jamaica","65.2600","2961.1670"
"Bangladesh","64.9800","164689.3830"
"Puerto Rico","64.7500","2860.8530"
"Nigeria","64.6400","206139.5890"
"Peru","64.5800","32971.8540"
"Kazakhstan","64.2300","18776.7070"
"Argentina","62.9600","45195.7740"
"Kenya","62.3800","53771.2960"
"Libya","61.2600","6871.2920"
"Malaysia","60.6600","32365.9990"
"Dominican Republic","60.6200","10847.9100"
"Fiji","60.5200","896.4450"
"Tanzania","59.8300","59734.2180"
"Somalia","58.7400","15893.2220"
"Mongolia","57.7600","3278.2900"
"Uganda","56.4700","45741.0070"
"Guatemala","56.0500","17915.5680"
"Costa Rica","55.7700","5094.1180"
"Algeria","54.4100","43851.0440"
"Bolivia","54.3100","11673.0210"
"Zimbabwe","53.8400","14862.9240"
"Maldives","53.8300","540.5440"
"Botswana","52.8900","2351.6270"
"Colombia","52.5400","50882.8910"
"Mexico","52.5100","128932.7530"
"Uruguay","52.3300","3473.7300"
"Cambodia","51.8000","16718.9650"
"Ghana","51.5700","31072.9400"
"Morocco","49.5300","36910.5600"
"Ukraine","49.0400","43733.7620"
"Iran","49.0300","83992.9490"
"Ecuador","48.9100","17643.0540"
"Egypt","48.5300","102334.4040"
"Vietnam","48.2200","97338.5790"
"Ethiopia","47.4600","114963.5880"
"Mauritius","47.3400","1271.7680"
"Sweden","47.2100","10099.2650"
"Chile","47.1200","19116.2010"
"United States","46.7300","331002.6510"
"France","46.4500","65273.5110"
"Iraq","46.3500","40222.4930"
"Indonesia","46.2600","273523.6150"
"Ireland","46.1800","4937.7860"
"Moldova","45.7000","4033.9630"
"Panama","45.4700","4314.7670"
"Pakistan","44.5800","220892.3400"
"Italy","44.3500","60461.8260"
"Nicaragua","44.3400","6624.5540"
"United Kingdom","43.6400","67886.0110"
"Bosnia and Herzegovina","43.5700","3280.8190"
"Lebanon","43.3800","6825.4450"
"Jordan","42.8900","10203.1340"
"Australia","42.7000","25499.8840"
"Belgium","42.5000","11589.6230"
"India","42.3800","1380004.3850"
"Russia","41.7000","145934.4620"
"Thailand","41.2900","69799.9780"
"Philippines","41.0900","109581.0780"
"New Zealand","40.8900","4822.2330"
"Tunisia","40.6400","11818.6190"
"Sri Lanka","40.1500","21413.2490"
"Albania","40.0200","2877.7970"
"Turkey","39.8600","84339.0670"
"Montenegro","39.6700","628.0660"
"Canada","39.4800","37742.1540"
"Bulgaria","39.3100","6948.4450"
"Greece","39.2900","10423.0540"
"Malta","37.7300","441.5430"
"Serbia","37.6300","8737.3710"
"China","36.7000","1439323.7760"
"Latvia","36.6000","1886.1980"
"Nepal","35.7000","29136.8080"
"Kuwait","35.6100","4270.5710"
"Hungary","35.4100","9660.3510"
"Lithuania","34.8200","2722.2890"
"Germany","34.6000","83783.9420"
"Norway","33.5100","5421.2410"
"Azerbaijan","32.6800","10139.1770"
"Spain","31.0700","46754.7780"
"Israel","30.7100","8655.5350"
"Luxembourg","30.1700","625.9780"
"Portugal","30.1100","10196.7090"
"Poland","29.6700","37846.6110"
"Cyprus","29.6200","1207.3590"
"South Korea","29.2400","51269.1850"
"Slovakia","29.1800","5459.6420"
"Bahrain","29.1800","1701.5750"
"Netherlands","28.5400","17134.8720"
"Saudi Arabia","28.2200","34813.8710"
"Brunei","28.0500","437.4790"
"Romania","27.8400","19237.6910"
"Singapore","27.7000","5850.3420"
"Cuba","27.6200","11326.6160"
"Czech Republic","25.9900","10708.9810"
"Belarus","24.8000","9449.3230"
"Denmark","24.7200","5792.2020"
"Croatia","24.2300","4105.2670"
"Austria","23.2300","9006.3980"
"Iceland","23.1500","341.2430"
"Finland","22.7500","5540.7200"
"Estonia","22.1700","1326.5350"
"Slovenia","22.0100","2078.9380"
"Oman","21.5500","5106.6260"
"Switzerland","21.1800","8654.6220"
"Armenia","20.7800","2963.2430"
"Georgia","20.1800","3989.1670"
"Hong Kong","18.1000","7496.9810"
"Taiwan","16.2200","23816.7750"
"Japan","15.9100","126476.4610"
"United Arab Emirates","15.5200","9890.4020"
"Qatar",12,"2881.0530"
